product_id,product_name,category_id,price,cost,stock_quantity,description,weight_kg,dimensions_cm,is_active
60,Deluxe Smartphone,5,1165.65,741.75,503,This is a advanced ssd with great features.,19.82,29x92x35,True
61,Premium Tablet,1,1694.52,156.29,106,This is a deluxe speaker with great features.,4.04,93x77x32,True
62,Deluxe USB Drive,4,1574.51,1170.88,545,This is a advanced monitor with great features.,11.93,32x98x28,True
63,Premium Monitor,3,828.37,920.76,940,This is a premium laptop with great features.,3.74,80x68x32,True
64,Professional Router,2,1121.54,519.31,33,This is a premium mouse with great features.,3.75,47x40x13,False
65,Professional Camera,3,812.29,1440.62,74,This is a advanced tv with great features.,7.67,17x11x43,True
66,Professional Headphones,2,698.12,589.67,385,This is a standard router with great features.,13.61,9x58x29,False
67,Professional Keyboard,1,438.93,1022.68,866,This is a deluxe camera with great features.,6.54,47x10x1,True
68,Advanced Camera,5,705.74,1388.32,672,This is a standard scanner with great features.,14.35,46x75x4,False
69,Premium Printer,4,1184.73,912.57,524,This is a premium printer with great features.,12.18,63x50x27,True
70,Ultimate Speaker,4,1327.06,754.72,361,This is a essential hard drive with great features.,5.93,100x61x7,True
71,Ultimate Keyboard,2,781.72,681.94,154,This is a standard router with great features.,2.82,100x11x34,False
72,Deluxe USB Drive,4,1048.12,1434.52,397,This is a essential tv with great features.,6.21,91x88x48,False
73,Advanced Laptop,2,1728.59,263.39,96,This is a advanced mouse with great features.,19.97,83x61x45,False
74,Essential USB Drive,5,229.39,296.38,487,This is a basic headphones with great features.,17.76,62x62x2,False
75,Deluxe TV,4,730.47,1420.81,233,This is a ultimate tablet with great features.,0.72,5x60x22,False
76,Deluxe Tablet,3,1796.23,1345.38,454,This is a essential keyboard with great features.,16.39,12x54x48,True
77,Advanced Camera,4,1243.74,615.6,469,This is a standard monitor with great features.,15.93,52x90x48,False
78,Deluxe Laptop,2,1926.96,259.12,826,This is a premium scanner with great features.,15.98,38x9x17,True
79,Standard Camera,2,493.71,1065.1,845,This is a premium headphones with great features.,3.02,3x73x46,True
80,Ultimate Headphones,2,47.68,1193.98,777,This is a essential ssd with great features.,5.71,29x24x12,True
81,Standard Router,4,307.41,468.38,132,This is a basic headphones with great features.,8.89,21x2x16,True
82,Standard Hard Drive,2,1803.03,687.25,758,This is a advanced router with great features.,17.21,26x86x25,True
83,Basic Mouse,1,108.01,1313.21,566,This is a ultimate keyboard with great features.,7.29,20x51x33,True
84,Basic SSD,1,435.28,1012.77,330,This is a basic router with great features.,10.38,85x50x35,True
85,Premium Smartphone,2,972.16,232.4,595,This is a deluxe smartphone with great features.,19.74,66x82x46,False
86,Advanced USB Drive,2,882.72,617.45,10,This is a advanced smartphone with great features.,6.46,37x51x6,False
87,Essential Keyboard,5,353.01,222.92,223,This is a advanced printer with great features.,18.41,30x84x47,False
88,Premium Printer,2,1949.0,713.9,883,This is a basic monitor with great features.,11.14,61x88x21,True
89,Essential SSD,4,209.76,558.44,559,This is a deluxe ssd with great features.,3.95,43x67x32,True
90,Ultimate Printer,1,956.3,1189.15,704,This is a premium smartphone with great features.,17.04,96x32x42,True
91,Standard Scanner,4,1457.87,1322.19,528,This is a ultimate monitor with great features.,12.84,30x2x25,True
92,Premium SSD,3,426.56,1251.21,103,This is a deluxe camera with great features.,17.45,93x62x40,True
93,Standard Mouse,4,1016.34,1375.51,866,This is a premium monitor with great features.,19.07,22x15x28,True
94,Professional Smartphone,4,839.5,1436.41,42,This is a standard headphones with great features.,5.78,24x74x27,True
95,Essential Tablet,2,1804.6,381.57,664,This is a essential tv with great features.,12.39,19x14x44,False
96,Essential Router,5,1509.28,711.37,662,This is a essential tablet with great features.,12.62,4x1x45,True
97,Deluxe TV,2,1915.76,792.1,508,This is a premium camera with great features.,4.48,52x90x4,True
98,Standard USB Drive,1,750.56,545.6,641,This is a basic tablet with great features.,2.34,29x18x8,True
99,Basic Tablet,3,646.25,208.88,815,This is a advanced tv with great features.,2.81,52x32x19,True
100,Essential Scanner,2,122.69,27.4,287,This is a basic tv with great features.,11.41,59x12x36,True
